Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-2838,B-734,home furnishing,kitchen dining linen,table runners,4,01-01-2014,299
P-466,B-113,clothing,women s clothing,western wear,2.3,05-10-2017,610
P-7204,B-3078,clothing,women s clothing,western wear,3.7,12-01-2012,904
P-3786,B-977,home furnishing,kitchen dining linen,table runners,1.2,01-01-2020,393
P-8446,B-2223,clothing,women s clothing,western wear,1.6,19-03-2014,396
P-10051,B-3078,clothing,women s clothing,western wear,3.7,01-07-2019,596
P-11810,B-3175,jewellery,necklaces chains,necklaces,1.4,12-01-2013,253
P-10633,B-3078,clothing,men s clothing,winter seasonal wear,1.2,29-12-2012,664
P-7551,B-3078,clothing,men s clothing,t shirts,2,13-12-2019,341
P-7885,B-2372,clothing,women s clothing,western wear,2.1,30-12-2013,496
P-4381,B-2201,clothing,women s clothing,lingerie sleep swimwear,2.5,01-07-2015,441
P-11753,B-3159,automotive,accessories spare parts,car electronics accessories,3.9,12-01-2014,405
P-6331,B-1650,computers,network components,routers,3.4,12-01-2016,946
P-4997,B-1315,jewellery,necklaces chains,necklaces,1.8,12-01-2019,352
P-8844,B-2679,clothing,men s clothing,shirts,3.6,12-12-2016,691
P-6616,B-1737,bags wallets belts,luggage travel,lowe alpine luggage travel,4,23-06-2019,1490
P-4021,B-3078,clothing,women s clothing,western wear,4.6,01-07-2017,497
P-2073,B-459,bags wallets belts,bags,hand bags,4.3,24-02-2018,1390
P-9092,B-3078,clothing,women s clothing,ethnic wear,2.5,29-12-2015,1299
P-5128,B-3078,clothing,women s clothing,western wear,3.3,12-01-2013,791
P-7221,B-1937,jewellery,bangles bracelets armlets,bangles,4.5,30-12-2016,381
P-2489,B-610,home furnishing,kitchen dining linen,kitchen linen sets,2.6,18-03-2018,291
P-8952,B-2307,jewellery,rings,unknown,4.1,01-01-2020,20961
P-5643,B-3078,clothing,women s clothing,ethnic wear,2,12-01-2013,646
P-8915,B-2307,jewellery,rings,unknown,4.2,01-01-2015,28841
P-5369,B-1431,jewellery,rings,unknown,1.3,01-01-2018,36339
P-5471,B-3078,clothing,men s clothing,shirts,3.6,12-06-2016,529
P-8912,B-2307,jewellery,rings,unknown,1.3,01-01-2017,25901
P-2327,B-3078,beauty and personal care,fragrances,deodorants,1,12-01-2012,507
P-3304,B-3078,pens stationery,school supplies,geometry pen pencil boxes,1.5,12-01-2013,452
P-12128,B-3235,jewellery,accessories,brooches,2.4,28-02-2014,269
P-6165,B-678,clothing,women s clothing,lingerie sleep swimwear,1,01-07-2015,180
P-188,B-3078,clothing,women s clothing,western wear,3.3,30-12-2015,447
P-10422,B-2741,automotive,accessories spare parts,car interior exterior,3.4,21-04-2014,350
P-1709,B-3078,clothing,women s clothing,western wear,5,01-07-2014,889
P-2917,B-748,toys school supplies,action figures,disney action figures,2,28-03-2017,298
P-7520,B-3078,beauty and personal care,fragrances,deodorants,1.3,12-01-2015,398
P-8282,B-1936,furniture,pet furniture,unknown,1,29-12-2018,1147
P-4507,B-1193,jewellery,necklaces chains,necklaces,3.9,12-01-2014,445
P-5137,B-3078,toys school supplies,school supplies,geometry pencil boxes,1.2,12-01-2017,148
P-3995,B-1027,home decor festive needs,table decor handicrafts,showpieces,4.7,01-04-2018,2346
P-8981,B-2307,jewellery,rings,unknown,2.4,01-01-2016,33068
P-2203,B-3078,clothing,women s clothing,western wear,4,01-06-2016,761
P-6274,B-3078,clothing,women s clothing,western wear,4.7,30-12-2017,394
P-1755,B-372,automotive,car bike accessories,car bike lighting,3.9,06-02-2016,234
P-1046,B-144,jewellery,rings,amantran jewels om shaped silver zircon sterling,1,27-05-2018,2497
P-11595,B-3106,automotive,accessories spare parts,car interior exterior,3.5,24-05-2014,592
P-2494,B-610,home furnishing,kitchen dining linen,kitchen linen sets,3.4,18-03-2016,297
P-12022,B-3209,clothing,men s clothing,winter seasonal wear,2.6,13-06-2017,745
P-3273,B-850,mobiles accessories,tablet accessories,cases covers,4.7,01-01-2013,1491
P-1004,B-133,automotive,accessories spare parts,car interior exterior,4.2,12-01-2017,1374
P-1612,B-323,clothing,kids clothing,girls wear,4.6,03-11-2017,1415
P-3702,B-947,jewellery,necklaces chains,necklaces,2.7,12-01-2019,289
P-405,B-93,home decor festive needs,table decor handicrafts,showpieces,3.9,01-01-2017,595
P-4107,B-1059,beauty and personal care,hair care,hair colors,1,22-03-2016,1330
P-12375,B-3295,home decor festive needs,showpieces,you2deal showpieces,1.3,12-12-2017,445
P-9051,B-3078,kitchen dining,coffee mugs,rajesh digital coffee mugs,4,12-01-2014,241
P-4667,B-1237,mobiles accessories,tablet accessories,cases covers,1.3,01-01-2013,993
P-11550,B-2281,clothing,women s clothing,lingerie sleep swimwear,2.9,01-07-2020,290
P-10177,B-2699,automotive,accessories spare parts,car electronics accessories,2.7,12-01-2015,392
P-11456,B-3056,clothing,kids clothing,infants wear,3.1,18-03-2016,538
P-7796,B-3078,clothing,men s clothing,t shirts,3.1,13-12-2016,299
P-6434,B-1674,jewellery,bangles bracelets armlets,bracelets,1.1,20-12-2019,599
P-4243,B-1097,clothing,kids clothing,boys wear,1.1,05-12-2017,268
P-4955,B-3078,clothing,women s clothing,ethnic wear,3.7,01-07-2017,992
P-1841,B-405,jewellery,rings,unknown,1.3,01-01-2020,25001
P-8519,B-2201,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2013,802
P-6388,B-2679,clothing,men s clothing,shirts,4.1,12-06-2012,460
P-9018,B-2307,jewellery,rings,unknown,2.8,01-01-2014,19558
P-1651,B-340,computers,network components,routers,4,12-01-2019,2394
P-10218,B-2709,soie fashion women s sports bra,unknown,unknown,1.4,05-10-2014,790
P-6253,B-2355,furniture,pet furniture,unknown,3.1,29-12-2012,1899
P-9346,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,4.6,12-01-2019,191
P-2794,B-720,home decor festive needs,wall decor clocks,wall decals stickers,2.2,29-12-2015,994
P-2951,B-3078,sunglasses,unknown,unknown,4.7,01-06-2020,391
P-5715,B-1517,jewellery,rings,unknown,1.4,01-06-2019,31468
P-7818,B-2080,cameras accessories,camera accessories,lens hoods,2.6,29-12-2019,231
P-10409,B-2741,automotive,accessories spare parts,bike essentials,1.8,18-03-2015,214
P-6486,B-1699,clothing,women s clothing,lingerie sleep swimwear,2.3,20-06-2016,191
P-12046,B-3215,baby care,baby kids gifts,stickers,4,12-01-2013,582
P-10640,B-3078,footwear,women s footwear,casual shoes,3.2,12-01-2015,493
P-2893,B-2679,clothing,women s clothing,western wear,4.8,30-12-2018,489
P-6700,B-3078,clothing,women s clothing,western wear,1.4,01-06-2019,589
P-10823,B-2866,home decor festive needs,wall decor clocks,paintings,4.5,31-12-2014,1791
P-5909,B-1556,jewellery,rings,unknown,2.1,01-06-2017,1732
P-612,B-133,automotive,accessories spare parts,car interior exterior,3.9,12-01-2013,1348
P-4404,B-1148,jewellery,necklaces chains,necklaces,3.7,12-01-2017,441
P-5783,B-1517,jewellery,rings,unknown,1.4,01-01-2015,28100
P-3911,B-3078,ebooks,academic texts,law,1.7,01-07-2019,1563
P-15,B-1,automotive,accessories spare parts,car interior exterior,1.8,12-01-2015,1486
P-4435,B-1168,jewellery,rings,unknown,1.1,01-01-2019,26996
P-12392,B-3301,jewellery,necklaces chains,necklaces,1.1,12-01-2014,139
P-2513,B-616,clothing,men s clothing,shirts,1.1,06-11-2016,2285
P-3807,B-979,footwear,kids infant footwear,for boys,4.6,05-10-2020,240
P-7266,B-3078,beauty and personal care,combos and kits,mxofere combos and kits,4.8,12-12-2016,280
P-1512,B-278,mobiles accessories,tablet accessories,cases covers,4.3,01-01-2019,1003
P-7033,B-3078,footwear,women s footwear,flats,4.3,01-01-2019,1790
P-8900,B-2303,automotive,accessories spare parts,car bike care,1.3,25-02-2018,3349
P-816,B-133,automotive,accessories spare parts,car interior exterior,4.1,12-01-2015,1594
P-12014,B-3207,automotive,accessories spare parts,car bike care,3.1,25-02-2016,989
P-5736,B-1517,jewellery,rings,unknown,4.8,01-01-2019,21083
P-9332,B-2415,computers,laptop accessories,usb gadgets,1,29-12-2012,2998
P-8931,B-2307,jewellery,rings,unknown,2.2,01-01-2020,19584
P-201,B-3078,clothing,kids clothing,girls wear,2.1,20-12-2013,856
P-8108,B-3078,clothing,women s clothing,western wear,3.7,01-01-2015,489
P-8712,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,1.9,12-01-2017,173
P-5209,B-1380,kitchen dining,cookware,pots pans,4.3,12-01-2012,489
P-2244,B-3078,clothing,women s clothing,ethnic wear,5,01-07-2018,617
P-12190,B-449,clothing,women s clothing,lingerie sleep swimwear,3.3,01-07-2018,337
P-6551,B-3078,clothing,women s clothing,western wear,1.2,12-01-2016,798
P-1565,B-304,baby care,baby bedding,baby blankets,3.1,12-12-2017,486
P-3061,B-789,jewellery,necklaces chains,necklaces,2.4,12-01-2012,393
P-4176,B-1080,jewellery,bangles bracelets armlets,bracelets,4.3,20-12-2012,451
P-12554,B-3078,bags wallets belts,bags,backpacks,3.3,12-12-2012,760
P-3156,B-2372,clothing,women s clothing,western wear,3.9,30-12-2012,396
P-4126,B-1067,automotive,accessories spare parts,car electronics accessories,4.1,12-01-2014,947
P-3127,B-808,home improvement,tools,hand tools,1.6,01-01-2015,890
P-5307,B-1417,jewellery,necklaces chains,necklaces,4.7,12-01-2017,348
P-5851,B-1527,home furnishing,kitchen dining linen,table covers,4.6,24-04-2020,491
P-8289,B-2182,furniture,pet furniture,unknown,3.9,29-12-2012,1143
P-3780,B-974,baby care,infant wear,baby girls clothes,5,05-10-2014,350
P-6687,B-1936,clothing,women s clothing,lingerie sleep swimwear,1.2,01-07-2018,283
P-8054,B-2131,automotive,accessories spare parts,car interior exterior,2.1,25-04-2017,1394
P-8725,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,2.8,12-01-2016,215
P-11733,B-3149,automotive,accessories spare parts,car interior exterior,2.2,16-04-2020,442
P-7842,B-2086,clothing,women s clothing,western wear,1.4,25-03-2013,299
P-1705,B-3078,clothing,kids clothing,girls wear,5,01-06-2017,1987
P-5709,B-1517,jewellery,rings,unknown,4.4,01-01-2017,24057
P-2901,B-746,jewellery,necklaces chains,necklaces,2.8,12-01-2015,494
P-2048,B-3078,footwear,women s footwear,casual shoes,3.4,12-04-2012,1192
P-2336,B-555,pens stationery,office supplies,clairefontaine office supplies,1.6,31-12-2016,951
P-10593,B-2776,kitchen dining,kitchen tools,kitchen implements,1.1,12-01-2013,131
P-3707,B-3078,clothing,women s clothing,western wear,3.8,01-04-2014,690
P-5898,B-1551,clothing,women s clothing,lingerie sleep swimwear,3.7,28-04-2016,323
P-4009,B-1033,mobiles accessories,mobile accessories,mobile cables,3.3,20-06-2020,115
P-3439,B-889,home decor festive needs,showpieces,exotic india showpieces,4.9,01-04-2013,10885
P-3929,B-3078,clothing,men s clothing,t shirts,3.8,01-07-2020,703
P-7721,B-2054,clothing,kids clothing,boys wear,1.4,06-10-2019,989
P-8943,B-2307,jewellery,rings,unknown,1.4,01-01-2018,25573
P-3337,B-861,watches,wrist watches,esidon wrist watches,1.2,24-04-2017,445
P-10038,B-2638,jewellery,pendants lockets,silvesto india stone pendant,3.3,22-05-2016,540
P-10636,B-2787,footwear,men s footwear,casual shoes,4.3,17-05-2019,796
P-7178,B-3078,clothing,women s clothing,western wear,4.5,12-01-2012,870
P-9977,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.7,01-07-2020,135
P-4490,B-3078,clothing,women s clothing,western wear,4.2,01-07-2014,489
P-8315,B-2355,furniture,pet furniture,unknown,2.8,29-12-2012,1295
P-4816,B-3078,clothing,men s clothing,t shirts,3,01-07-2016,695
P-8889,B-2301,jewellery,bangles bracelets armlets,bangles,3,12-12-2017,455
P-3437,B-889,home decor festive needs,showpieces,exotic india showpieces,4.6,01-03-2013,2747
P-72,B-9,sports fitness,outdoor adventure,cycling,3.2,23-04-2018,6690
P-4277,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.6,01-07-2018,343
P-1642,B-3078,clothing,women s clothing,western wear,1,30-12-2018,324
P-3524,B-3078,footwear,women s footwear,heels,4.9,31-12-2017,951
P-2576,B-648,automotive,car bike accessories,car bike care,4.6,13-06-2017,459
P-547,B-3078,footwear,women s footwear,wedges,4.6,29-12-2017,692
P-6338,B-1655,eyewear,frames,lavish blink full rim rectangle frame 54 mm,2,19-03-2019,325
P-7627,B-3078,watches,wrist watches,noise wrist watches,2.2,01-07-2017,992
P-5419,B-1444,cameras accessories,camera accessories,lens hoods,2.2,29-12-2019,1373
P-7328,B-1961,home furnishing,bed linen,blankets quilts dohars,4,01-01-2013,1346
P-12496,B-3335,zevrr sterling silver swarovski zirconia platinu,unknown,unknown,2.6,04-03-2015,1063
P-11091,B-3231,clothing,women s clothing,lingerie sleep swimwear,2,01-07-2017,399
P-3584,B-922,baby care,baby bedding,baby mosquito nets,2.7,12-12-2019,954
P-2996,B-3078,footwear,women s footwear,wedges,3.1,29-12-2016,399
P-1962,B-3078,clothing,women s clothing,western wear,2,30-12-2018,391
P-5733,B-1517,jewellery,rings,unknown,1.5,01-01-2015,24437
P-290,B-79,adidas ind pro thi gua thigh guard white blue,unknown,unknown,2.5,06-10-2014,991
P-1439,B-255,tools hardware,tools,gardening tools,2.4,01-07-2020,346
P-5149,B-1366,home decor festive needs,candles fragrances,home fragrances,3,15-06-2016,389
P-7149,B-1907,clothing,women s clothing,ethnic wear,4.4,06-12-2020,2396
P-6978,B-3078,clothing,women s clothing,western wear,4.3,12-01-2013,757
P-10159,B-2695,computers,laptop accessories,adapters,4.3,03-11-2016,537
P-2984,B-3078,footwear,women s footwear,casual shoes,4.4,12-04-2014,497
P-9326,B-2415,mobiles accessories,tablet accessories,cases covers,3.3,01-01-2019,1550
P-5506,B-1466,jewellery,necklaces chains,necklaces,2.7,12-01-2013,293
P-12135,B-3078,beauty and personal care,fragrances,deodorants,1.3,12-01-2018,340
P-4004,B-1030,furniture,living room,sofas sectionals,3.1,31-12-2012,17997
P-4721,B-1256,home decor festive needs,wall decor clocks,wall decals stickers,3,29-12-2015,8098
P-7115,B-3078,footwear,women s footwear,casual shoes,1.7,12-01-2014,1321
P-8226,B-3078,clothing,women s clothing,western wear,4.8,12-12-2018,194
P-9948,B-2605,home furnishing,bed linen,blankets quilts dohars,2.7,12-12-2019,841
P-5510,B-1466,jewellery,necklaces chains,necklaces,3.3,12-01-2016,199
P-117,B-30,jewellery,necklaces chains,necklaces,2,12-01-2013,797
P-10491,B-2743,clothing,kids clothing,boys wear,1.8,21-04-2018,438
P-820,B-133,automotive,accessories spare parts,car interior exterior,2.8,12-01-2019,1598
P-12261,B-3269,mobiles accessories,mobile accessories,chargers,1.9,25-03-2017,263
P-3123,B-805,home furnishing,bed linen,blankets quilts dohars,5,12-12-2019,998
P-6079,B-1598,kitchen dining,tableware cutlery,tableware,2,03-11-2015,221
P-9104,B-2332,jewellery,rings,unknown,3.1,01-07-2014,27851
P-5508,B-1466,jewellery,necklaces chains,necklaces,3.6,12-01-2017,249
P-3147,B-810,tools hardware,tools,gardening tools,1.6,01-07-2020,898
P-1138,B-2372,clothing,women s clothing,western wear,1.7,30-12-2013,296
P-4259,B-1105,jewellery,bangles bracelets armlets,bracelets,3.2,20-12-2017,446
P-10956,B-2902,clothing,men s clothing,accessories combo sets,1.8,06-03-2016,311
P-389,B-88,mobiles accessories,mobile accessories,car accessories,3.8,03-03-2018,164
P-9499,B-3078,clothing,women s clothing,winter seasonal wear,3.2,12-03-2014,2591
P-12047,B-3215,home decor festive needs,wall decor clocks,paintings,2.3,31-12-2012,1742
P-10715,B-2821,tools hardware,tools,gardening tools,1.4,01-07-2014,594
P-7691,B-3078,clothing,men s clothing,t shirts,4.2,13-12-2012,336
P-3076,B-793,furniture,living room,sofas sectionals,5,31-12-2016,31590
P-6141,B-2373,clothing,women s clothing,western wear,4.4,30-12-2013,446
P-1142,B-2372,clothing,women s clothing,western wear,4.3,30-12-2019,295
P-9211,B-2370,computers,laptop accessories,batteries,3.7,01-07-2015,2499
P-1228,B-199,clothing,kids clothing,girls wear,3.1,23-06-2017,294
P-6791,B-3078,clothing,women s clothing,western wear,1.5,12-01-2018,981
P-1886,B-405,jewellery,rings,unknown,4.8,01-01-2014,28821
P-4573,B-3078,clothing,kids clothing,girls wear,1.6,01-06-2013,1489
P-6297,B-1645,computers,laptop accessories,batteries,4.3,01-07-2016,1695
P-2187,B-502,mobiles accessories,mobile accessories,mobile body panels,4.7,20-06-2018,539
P-10897,B-2892,baby care,infant wear,baby boys clothes,4.4,21-06-2018,429
P-11220,B-2372,clothing,women s clothing,western wear,1.3,30-12-2012,367
P-2817,B-730,jewellery,necklaces chains,necklaces,4.5,03-10-2019,682
P-11486,B-3070,home decor festive needs,showpieces,ethnic,4.5,12-01-2018,490
P-6639,B-1741,kitchen dining,dinnerware crockery,cups saucers,1.5,14-06-2017,817
P-1739,B-368,cameras accessories,camera accessories,lens hoods,4,24-04-2013,5572
P-5453,B-1448,mobiles accessories,tablet accessories,cases covers,1.2,31-12-2017,445
P-2283,B-3078,toys school supplies,school supplies,geometry pencil boxes,1.3,12-01-2012,174
P-3203,B-3078,watches,wrist watches,elantra wrist watches,4.5,12-04-2018,941
P-1959,B-3078,clothing,women s clothing,western wear,4,01-01-2014,576
P-11519,B-3078,clothing,women s clothing,winter seasonal wear,3,01-06-2020,1616
P-1672,B-3078,clothing,kids clothing,girls wear,4.7,01-07-2019,697
P-2909,B-748,jewellery,bangles bracelets armlets,bracelets,2.1,20-12-2018,391
P-3927,B-3078,clothing,women s clothing,western wear,4.6,01-07-2019,290
P-10960,B-2904,watches,wrist watches,texus wrist watches,4.2,24-04-2016,354
P-6325,B-3078,clothing,women s clothing,western wear,3.9,01-07-2017,535
P-10783,B-2852,mobiles accessories,mobile accessories,cables,5,12-12-2015,593
P-3247,B-3078,beauty and personal care,fragrances,deodorants,3.5,12-01-2019,299
P-1282,B-211,arial morris women flats,unknown,unknown,4.3,24-04-2016,496
P-4491,B-1188,home decor festive needs,wall decor clocks,wall decals stickers,3.6,03-07-2017,238
P-5981,B-1569,mobiles accessories,mobile accessories,mobile pouches,1.4,03-05-2019,450
P-12139,B-3078,beauty and personal care,fragrances,deodorants,4.3,12-01-2014,353
P-6613,B-1820,clothing,women s clothing,lingerie sleep swimwear,4.2,01-07-2014,422
P-948,B-133,automotive,accessories spare parts,car interior exterior,2.7,12-01-2019,1372
P-3554,B-3078,clothing,women s clothing,western wear,3.4,01-06-2015,443
P-3626,B-938,jewellery,necklaces chains,necklaces,1.5,12-01-2016,495
P-2169,B-3078,footwear,women s footwear,casual shoes,5,12-04-2015,2289
P-7837,B-3078,clothing,women s clothing,accessories,4.6,01-01-2016,498
P-9166,B-2679,clothing,men s clothing,jeans,3.9,12-12-2014,3889
P-4587,B-1215,sunglasses,hh aviator sunglasses,unknown,2.3,06-10-2017,339
P-1452,B-258,mobiles accessories,mobile accessories,headphones,3.4,03-11-2013,116289
P-12229,B-3078,clothing,men s clothing,t shirts,4.5,15-12-2017,687
P-8982,B-2307,jewellery,rings,unknown,3,01-01-2017,37947
P-2304,B-545,baby care,infant wear,baby girls clothes,4.9,06-07-2013,792
P-10061,B-2650,clothing,women s clothing,ethnic wear,3.1,03-03-2016,1599
P-3627,B-939,footwear,women s footwear,casual shoes,3.8,04-02-2014,492
P-11987,B-3199,jewellery,necklaces chains,necklaces,3.1,12-01-2019,143
P-12440,B-3311,jewellery,necklaces chains,necklaces,2.1,12-01-2019,243
P-12020,B-3208,clothing,men s clothing,inner wear sleep wear,3.6,05-10-2020,588
P-7590,B-3078,clothing,women s clothing,western wear,4.5,01-01-2020,471
P-10925,B-2895,computers,network components,routers,4.8,12-01-2014,1397
P-6873,B-3078,watches,wrist watches,maxima wrist watches,5,01-07-2017,948
P-4855,B-1276,computers,computer peripherals,cpu,1.5,26-05-2018,6986
P-9318,B-3078,clothing,women s clothing,winter seasonal wear,4.3,20-12-2013,899
P-3000,B-768,toys school supplies,action figures,doctor who action figures,4.2,03-03-2016,4527
P-9636,B-3078,footwear,women s footwear,wedges,2.5,29-12-2012,392
P-3886,B-1000,clothing,women s clothing,western wear,3.7,05-12-2017,616
P-9998,B-3078,clothing,women s clothing,western wear,4.4,31-12-2017,1047
P-7288,B-3078,footwear,women s footwear,wedges,3.1,12-12-2015,952
P-7559,B-2372,clothing,women s clothing,western wear,1.1,30-12-2019,485
P-9618,B-2281,clothing,women s clothing,lingerie sleep swimwear,3.8,01-07-2013,545
P-9727,B-3078,beauty and personal care,body and skin care,face care,4,31-12-2015,1214
P-4885,B-1290,mobiles accessories,tablet accessories,cases covers,2.6,31-12-2014,348
P-713,B-133,automotive,accessories spare parts,car interior exterior,2.9,12-01-2017,1593
P-3043,B-786,jewellery,bangles bracelets armlets,bracelets,3.9,20-12-2018,353
P-10002,B-2622,clothing,women s clothing,ethnic wear,3.5,13-06-2016,948
P-9821,B-2565,clothing,kids clothing,boys wear,4.5,16-06-2020,875
P-3717,B-949,feet flow women flats,unknown,unknown,3.2,05-10-2018,1395
P-1997,B-430,clothing,women s clothing,fusion wear,1.2,06-01-2020,745
P-7503,B-2008,footwear,women s footwear,ballerinas,4,23-04-2014,293
P-2411,B-2281,clothing,women s clothing,lingerie sleep swimwear,3.2,01-07-2019,289
P-10290,B-2715,sonaxo men running shoes,unknown,unknown,2.8,04-02-2019,968
P-4033,B-1039,kitchen dining,coffee mugs,g g coffee mugs,1.2,23-03-2013,189
P-3955,B-1019,clothing,kids clothing,boys wear,1.9,28-04-2018,291
P-11643,B-3123,jewellery,bangles bracelets armlets,bangles,3.3,30-12-2013,398
P-7654,B-2044,kitchen dining,kitchen tools,kitchen implements,3.6,12-01-2013,699
P-11446,B-3051,bags wallets belts,wallets clutches,travel document holders card holders,4.8,14-06-2017,492
P-3324,B-860,jewellery,bangles bracelets armlets,bracelets,4.3,01-04-2018,91
P-8310,B-2183,furniture,pet furniture,unknown,3.6,29-12-2019,1596
P-3018,B-3078,footwear,men s footwear,casual shoes,4.6,12-12-2018,397
P-7586,B-2028,jewellery,rings,unknown,1.7,01-06-2013,17428
P-4884,B-1289,home entertainment,home audio,speakers,3.7,03-03-2018,290
P-317,B-86,jewellery,necklaces chains,necklaces,1.2,12-01-2018,819
P-9307,B-3231,clothing,women s clothing,lingerie sleep swimwear,3.9,01-07-2017,247
P-5750,B-1517,jewellery,rings,unknown,2.9,01-06-2016,35688
P-6542,B-3078,baby care,baby grooming,baby grooming combos,2.9,01-03-2015,2942
P-6137,B-1621,clothing,men s clothing,inner wear sleep wear,3.4,21-06-2019,347
P-8824,B-2679,clothing,kids clothing,boys wear,2.6,12-12-2017,841
P-5215,B-1384,home furnishing,living room furnishing,diwan sets,2.4,20-06-2013,1745
P-414,B-3078,beauty and personal care,fragrances,deodorants,4.9,12-01-2018,159
P-2329,B-3078,beauty and personal care,fragrances,deodorants,2.5,12-01-2018,513
P-4221,B-1087,kitchen dining,bar glassware,bar glasses,1.5,16-04-2013,796
P-9897,B-3078,pens stationery,school supplies,geometry pen pencil boxes,1.6,12-01-2014,240
P-12041,B-3215,baby care,baby kids gifts,stickers,1,12-01-2018,1424
P-5634,B-1502,clothing,women s clothing,fusion wear,1.9,04-06-2015,1097
P-7644,B-3078,clothing,men s clothing,t shirts,3.5,13-12-2014,589
P-1323,B-219,home furnishing,curtains accessories,curtains,4.8,03-03-2017,596
P-1877,B-405,jewellery,rings,unknown,4.5,01-06-2014,22637
P-6157,B-3078,footwear,women s footwear,casual shoes,4.5,12-01-2018,793
P-5836,B-1525,mobiles accessories,tablet accessories,cases covers,3.4,01-01-2016,640
P-3602,B-931,jewellery,accessories,brooches,3.6,28-02-2013,216
P-8264,B-3078,watches,wrist watches,perucci wrist watches,4.8,12-12-2019,390
P-11326,B-3000,clothing,women s clothing,lingerie sleep swimwear,4.2,23-04-2014,492
P-6783,B-1803,home furnishing,bath linen,towels,4.8,12-12-2018,599
P-9004,B-2307,jewellery,rings,unknown,3.5,01-01-2020,34025
P-3149,B-810,tools hardware,tools,gardening tools,4.7,01-07-2018,1399
P-515,B-2373,clothing,women s clothing,western wear,3.4,30-12-2012,310
P-8048,B-3078,clothing,women s clothing,western wear,1.1,01-06-2015,1997
P-3132,B-810,tools hardware,tools,gardening tools,3.5,01-07-2019,789
P-5888,B-1543,jewellery,bangles bracelets armlets,bracelets,1.8,20-12-2012,241
P-11400,B-3032,pens stationery,office supplies,tucasa office supplies,1.8,03-02-2019,957
P-111,B-29,pens stationery,office supplies,files and folders,3.9,03-03-2016,424
P-9264,B-2390,beauty and personal care,makeup,face,1.3,03-03-2013,291
P-11089,B-378,clothing,women s clothing,lingerie sleep swimwear,1.6,01-07-2017,257
P-2325,B-3078,beauty and personal care,fragrances,deodorants,5,12-01-2018,335
P-7398,B-3078,pens stationery,college supplies,geometry pencil boxes,2.8,12-01-2015,490
P-9557,B-2475,home decor festive needs,festive decor,holi essentials,3.7,03-11-2015,889
P-1303,B-218,beauty and personal care,makeup,nails,3.5,20-05-2013,194
P-10740,B-2830,kitchen dining,cookware,pots pans,5,12-01-2014,295
P-11108,B-2201,clothing,women s clothing,lingerie sleep swimwear,1.3,01-07-2016,182
P-4553,B-1207,jewellery,necklaces chains,necklaces,2.4,12-01-2012,158
P-8453,B-3078,clothing,men s clothing,t shirts,4.8,12-12-2016,598
P-10685,B-2806,home decor festive needs,table decor handicrafts,decorative platters,2.8,01-04-2020,394
P-3514,B-909,home furnishing,curtains accessories,curtains,3,31-12-2016,442
P-3588,B-924,jewellery,necklaces chains,necklaces,3.2,12-01-2018,400
P-10034,B-2679,clothing,men s clothing,shirts,2.6,12-03-2012,591
